geneid,node1,node2,node1_string_id,node2_string_id,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
381,ARF5,VAMP3,9606.ENSP00000000233,9606.ENSP00000054666,0.092,0.0,0.354,0.428
4074,M6PR,CD4,9606.ENSP00000000412,9606.ENSP00000011653,0.0,0.4,0.057,0.413
4074,M6PR,VAMP3,9606.ENSP00000000412,9606.ENSP00000054666,0.0,0.5,0.214,0.624
2288,FKBP4,PPP5C,9606.ENSP00000001008,9606.ENSP00000012443,0.0,0.4,0.317,0.608
9957,HS3ST1,B4GALT7,9606.ENSP00000002596,9606.ENSP00000029410,0.0,0.0,0.404,0.404
5166,PDK4,CRY1,9606.ENSP00000005178,9606.ENSP00000008527,0.091,0.0,0.382,0.457
55971,BAIAP2L1,VAMP3,9606.ENSP00000005260,9606.ENSP00000054666,0.0,0.4,0.0,0.411
1856,DVL2,GABARAPL2,9606.ENSP00000005340,9606.ENSP00000037243,0.072,0.0,0.438,0.456
1856,DVL2,PSMA4,9606.ENSP00000005340,9606.ENSP00000044462,0.052,0.4,0.0,0.406
1856,DVL2,VAMP3,9606.ENSP00000005340,9606.ENSP00000054666,0.0,0.5,0.051,0.505
79657,RPAP3,PPP5C,9606.ENSP00000005386,9606.ENSP00000012443,0.091,0.54,0.146,0.625
8935,SKAP2,LCP2,9606.ENSP00000005587,9606.ENSP00000046794,0.074,0.0,0.844,0.851
972,CD74,CD4,9606.ENSP00000009530,9606.ENSP00000011653,0.0,0.0,0.586,0.653
972,CD74,LCP2,9606.ENSP00000009530,9606.ENSP00000046794,0.092,0.0,0.422,0.615
972,CD74,MRPS10,9606.ENSP00000009530,9606.ENSP00000053468,0.577,0.0,0.24,0.888
972,CD74,MRPS35,9606.ENSP00000009530,9606.ENSP00000081029,0.762,0.0,0.251,0.827
6856,SYPL1,VAMP3,9606.ENSP00000011473,9606.ENSP00000054666,0.444,0.0,0.241,0.596
920,CD4,LCP2,9606.ENSP00000011653,9606.ENSP00000046794,0.093,0.5,0.704,0.891
920,CD4,TNFRSF17,9606.ENSP00000011653,9606.ENSP00000053243,0.134,0.0,0.447,0.5
920,CD4,VAMP3,9606.ENSP00000011653,9606.ENSP00000054666,0.201,0.5,0.131,0.622
55148,UBR7,RFC2,9606.ENSP00000013070,9606.ENSP00000055077,0.0,0.0,0.398,0.424
2067,ERCC1,MRI1,9606.ENSP00000013807,9606.ENSP00000040663,0.0,0.0,0.06,0.462
2067,ERCC1,RFC2,9606.ENSP00000013807,9606.ENSP00000055077,0.0,0.5,0.255,0.626
64132,XYLT2,B4GALT7,9606.ENSP00000017003,9606.ENSP00000029410,0.0,0.9,0.797,0.979
64132,XYLT2,CHPF2,9606.ENSP00000017003,9606.ENSP00000035307,0.0,0.0,0.417,0.446
9821,RB1CC1,GABARAPL2,9606.ENSP00000025008,9606.ENSP00000037243,0.375,0.0,0.928,0.953
11285,B4GALT7,CHPF2,9606.ENSP00000029410,9606.ENSP00000035307,0.0,0.0,0.582,0.656
55173,MRPS10,MRPS35,9606.ENSP00000053468,9606.ENSP00000081029,0.994,0.8,0.282,0.999
933,CD22,ST6GALNAC1,9606.ENSP00000085219,9606.ENSP00000156626,0.0,0.0,0.444,0.444
933,CD22,ST6GAL1,9606.ENSP00000085219,9606.ENSP00000169298,0.0,0.0,0.535,0.545
3784,KCNQ1,TSPAN32,9606.ENSP00000155840,9606.ENSP00000182290,0.0,0.0,0.574,0.61
27238,GPKOW,GPATCH1,9606.ENSP00000156109,9606.ENSP00000170564,0.0,0.4,0.294,0.625
9716,AQR,RBM22,9606.ENSP00000156471,9606.ENSP00000199814,0.989,0.9,0.288,0.999
51009,DERL2,ERLEC1,9606.ENSP00000158771,9606.ENSP00000185150,0.898,0.5,0.811,0.99
57719,ANO8,CELSR3,9606.ENSP00000159087,9606.ENSP00000164024,0.0,0.0,0.403,0.428
3385,ICAM3,CEACAM1,9606.ENSP00000160262,9606.ENSP00000161559,0.093,0.0,0.446,0.511
3835,KIF22,ZW10,9606.ENSP00000160827,9606.ENSP00000200135,0.073,0.5,0.201,0.608
54929,TMEM161A,TMEM38A,9606.ENSP00000162044,9606.ENSP00000187762,0.0,0.0,0.505,0.509
7132,TNFRSF1A,BCL3,9606.ENSP00000162749,9606.ENSP00000164227,0.0,0.0,0.351,0.51
54700,RRN3,DIMT1,9606.ENSP00000198767,9606.ENSP00000199320,0.0,0.0,0.173,0.66
27102,EIF2AK1,PPP1R15A,9606.ENSP00000199389,9606.ENSP00000200453,0.0,0.5,0.399,0.686
54869,EPS8L1,ANKRD54,9606.ENSP00000201647,9606.ENSP00000215941,0.045,0.0,0.468,0.47
51575,ESF1,TRMT6,9606.ENSP00000202816,9606.ENSP00000203001,0.0,0.0,0.149,0.582
23409,SIRT4,SIRT1,9606.ENSP00000202967,9606.ENSP00000212015,0.0,0.0,0.534,0.624
7384,UQCRC1,DLD,9606.ENSP00000203407,9606.ENSP00000205402,0.243,0.0,0.318,0.831
7384,UQCRC1,ATP5F1D,9606.ENSP00000203407,9606.ENSP00000215375,0.147,0.0,0.665,0.968
7384,UQCRC1,NDUFB7,9606.ENSP00000203407,9606.ENSP00000215565,0.948,0.154,0.469,0.991
7384,UQCRC1,SLC25A1,9606.ENSP00000203407,9606.ENSP00000215882,0.129,0.0,0.229,0.426
10081,PDCD7,SNRPD3,9606.ENSP00000204549,9606.ENSP00000215829,0.467,0.72,0.044,0.845
132949,AASDH,SMIM24,9606.ENSP00000205214,9606.ENSP00000215531,0.0,0.312,0.353,0.545
1738,DLD,ATP5F1D,9606.ENSP00000205402,9606.ENSP00000215375,0.097,0.0,0.157,0.447
9552,SPAG7,KLHL20,9606.ENSP00000206020,9606.ENSP00000209884,0.44,0.0,0.0,0.44
55632,G2E3,CBX5,9606.ENSP00000206595,9606.ENSP00000209875,0.128,0.0,0.376,0.437
990,CDC6,PSMD5,9606.ENSP00000209728,9606.ENSP00000210313,0.0,0.4,0.0,0.442
990,CDC6,PSMD8,9606.ENSP00000209728,9606.ENSP00000215071,0.0,0.4,0.06,0.416
990,CDC6,CENPM,9606.ENSP00000209728,9606.ENSP00000215980,0.0,0.0,0.197,0.479
8086,AAAS,SNRPD3,9606.ENSP00000209873,9606.ENSP00000215829,0.0,0.4,0.0,0.453
23468,CBX5,SIRT1,9606.ENSP00000209875,9606.ENSP00000212015,0.102,0.0,0.633,0.656
1725,DHPS,MAPK1,9606.ENSP00000210060,9606.ENSP00000215832,0.601,0.0,0.083,0.62
5711,PSMD5,PSMD8,9606.ENSP00000210313,9606.ENSP00000215071,0.994,0.72,0.67,0.999
5603,MAPK13,MAPK1,9606.ENSP00000211287,9606.ENSP00000215832,0.0,0.9,0.083,0.907
28978,TMEM14A,USP18,9606.ENSP00000211314,9606.ENSP00000215794,0.456,0.0,0.0,0.456
7414,VCL,MAPK1,9606.ENSP00000211998,9606.ENSP00000215832,0.074,0.5,0.557,0.786
5714,PSMD8,SNRPD3,9606.ENSP00000215071,9606.ENSP00000215829,0.0,0.0,0.127,0.48
513,ATP5F1D,NDUFB7,9606.ENSP00000215375,9606.ENSP00000215565,0.127,0.0,0.501,0.97
4713,NDUFB7,TIMM13,9606.ENSP00000215565,9606.ENSP00000215570,0.0,0.0,0.466,0.628
9342,SNAP29,THAP7,9606.ENSP00000215730,9606.ENSP00000215742,0.0,0.0,0.588,0.606
10291,SF3A1,SNRPD3,9606.ENSP00000215793,9606.ENSP00000215829,0.921,0.9,0.377,0.995
3957,LGALS2,LGALS1,9606.ENSP00000215886,9606.ENSP00000215909,0.0,0.54,0.301,0.674
